City	latitude	longitude
DALLAS	32.7762719	32.7762719
MURPHYS	38.1374202	38.1374202
HOUSTON	29.7589382	29.7589382
ARTESIA	33.8690197	33.8690197
CHATSWORTH	42.9156667	42.9156667
COLUMBUS	39.9622601	39.9622601
FREMONT	37.5482697	37.5482697
EMPORIA	38.4040054	38.4040054
PLANO	33.0136764	33.0136764
SMYRNA	38.4224548	38.4224548
SAN FRANCISCO	37.7790262	37.7790262
CORAL GABLES	25.6915434	25.6915434
SAN JOSE	37.3361905	37.3361905
DECATUR	39.8454163	39.8454163
SAN DIEGO	32.7174202	32.7174202
LATHAM	39.9686517	39.9686517
CAMPBELL	37.2870626	37.2870626
POPLAR BLUFF	36.7568327	36.7568327
BEECH ISLAND	33.4273614	33.4273614
CULVER CITY	34.0211224	34.0211224
MADISON HEIGHTS	42.4858692	42.4858692
NEEDHAM HEIGHTS	42.2931505	42.2931505
MILFORD	41.2222218	41.2222218
LAS VEGAS	36.1672559	36.1672559
VICTORIA	-36.5986096	-36.5986096
BIRMINGHAM	52.4796992	52.4796992
RIGBY	43.6751937	43.6751937
NOGALES	38.5865813	38.5865813
GLENDALE HEIGHTS	41.919522	41.919522
BOLTON	53.5782863	53.5782863
BEVERLY	42.5584284	42.5584284
LEAVENWORTH	39.2147095	39.2147095
SAN MATEO	37.496904	37.496904
CHERRY HILL	39.9348351	39.9348351
WASHINGTON	38.8950368	38.8950368
WESTFORD	42.5792583	42.5792583
HOLMDEL	40.3451095	40.3451095
WHITE PLAINS	41.0339862	41.0339862
PHILADELPHIA	39.9527237	39.9527237
NEW ROCHELLE	40.9115386	40.9115386
SANTA ROSA	38.4404925	38.4404925
FRAMINGHAM	42.3095704	42.3095704
BRUNSWICK	52.2646577	52.2646577
CARROLLTON	32.9537349	32.9537349
CHAPEL HILL	35.9131542	35.9131542
BLUE ASH	39.2320073	39.2320073
CINCINNATI	39.1014537	39.1014537
BALTIMORE	39.2908816	39.2908816
RICHARDSON	40.1194651	40.1194651
SAINT LOUIS	38.6264256	38.6264256
GARDENA	33.8963593	33.8963593
FORT WORTH	32.753177	32.753177
NORTH LAS VEGAS	36.2005843	36.2005843
MINDEN	52.2881045	52.2881045
CARTERET	40.5773266	40.5773266
WALL TOWNSHIP	40.1743052	40.1743052
PHOENIX	33.4484367	33.4484367
LOUISVILLE	38.2542376	38.2542376
MARYSVILLE	48.0517429	48.0517429
CELEBRATION	-1.2310527	-1.2310527
NEW YORK	40.7127281	40.7127281
MEMPHIS	35.1490215	35.1490215
ALICEVILLE	33.1295681	33.1295681
CHELSEA	51.4875167	51.4875167
WYNNE	35.224533	35.224533
PORT WASHINGTON	40.8254914	40.8254914
JONESBORO	35.8272257	35.8272257
LAGUNA NIGUEL	33.5225261	33.5225261
STATHAM	33.9654884	33.9654884
IRVINE	33.6856969	33.6856969
BOSTON	42.3602534	42.3602534
ROCKFORD	42.2713945	42.2713945
CHARLOTTE	35.2272086	35.2272086
PONTE VEDRA BEACH	30.2396865	30.2396865
SANTA FE SPRINGS	33.9480787	33.9480787
QUINCY	42.2509914	42.2509914
ALEXANDRIA	31.199004	31.199004
TROY	39.95737395	39.95737395
STOW	41.1596261	41.1596261
WEST CHESTER	39.9597213	39.9597213
FORT LAUDERDALE	26.1223084	26.1223084
BOWLING GREEN	36.9903199	36.9903199
EL PASO	31.7754152	31.7754152
WALTHAM	42.3756401	42.3756401
RALEIGH	35.7803977	35.7803977
LAKE CHARLES	30.2265949	30.2265949
COLEMAN	31.7766863	31.7766863
BAKERSFIELD	35.3738712	35.3738712
LOS ANGELES	34.0536909	34.0536909
WAUKESHA	43.0053145	43.0053145
MIAMI	25.7741728	25.7741728
SPRINGFIELD	39.7990175	39.7990175
ADDISON	41.931696	41.931696
ORLANDO	28.5421109	28.5421109
SANTA CLARA	37.2333253	37.2333253
DAVIE	26.07441465	26.07441465
BEDFORD	52.1363806	52.1363806
WAYNESBORO	38.0686668	38.0686668
SACRAMENTO	38.5810606	38.5810606
SAN ANTONIO	29.4246002	29.4246002
CARLSBAD	50.2304694	50.2304694
ROCHESTER	43.157285	43.157285
INDIANAPOLIS	39.7683331	39.7683331
CALVERT CITY	37.0333896	37.0333896
DUBLIN	53.3497645	53.3497645
ENGLEWOOD	39.6482059	39.6482059
WEST PALM BEACH	26.715364	26.715364
HEATH	32.8365147	32.8365147
AVON LAKE	41.510033	41.510033
RHINEBECK	41.9268754	41.9268754
EARLVILLE	42.4816229	42.4816229
OAKLAND	37.8044557	37.8044557
AUSTIN	30.2711286	30.2711286
VIENNA	48.2083537	48.2083537
EULESS	32.8457865	32.8457865
WORCESTER	42.2625621	42.2625621
HUNTSVILLE	34.729847	34.729847
ROWLEY	42.3699889	42.3699889
NEPTUNE	39.0753562	39.0753562
OAK RIDGE	36.0103562	36.0103562
VERNON	49.0917814	49.0917814
LYNWOOD	33.924831	33.924831
CITY OF INDUSTRY	34.0182252	34.0182252
DORAL	25.8195424	25.8195424
WOOSTER	40.7980976	40.7980976
EL CAJON	32.7947731	32.7947731
VISTA	33.2000368	33.2000368
OMAHA	41.2587459	41.2587459
ROCKVILLE	39.0817985	39.0817985
KANSAS CITY	39.100105	39.100105
MISSION	26.2159066	26.2159066
WHIPPANY	40.8245442	40.8245442
ESCONDIDO	33.1216751	33.1216751
MORRISVILLE	47.88338805	47.88338805
MILPITAS	37.4332273	37.4332273
LARGO	27.9094665	27.9094665
AKRON	41.083064	41.083064
LOS ALTOS	42.7811566	42.7811566
ATLANTA	33.7489924	33.7489924
RANCHO CUCAMONGA	34.1033192	34.1033192
CHINO	34.0133561	34.0133561
PEORIA	40.6938609	40.6938609
MILWAUKEE	43.0349931	43.0349931
WILLIAMSVILLE	39.9542161	39.9542161
RENTON	47.4799078	47.4799078
CAMARILLO	34.2176371	34.2176371
